National Code,National Title,Specialisations,NRT Type,Usage Recommendation,Usage Recommendation Start Date,NRT Status,Currency Period Start Date,Currency Period End Date,Superseded by,Is Equivalent,Supersedes,Is Equivalent,Latest Release Number,Latest Release Date,Parent Training Package Code,Parent Training Package Title,Is Confidential,Training Package Developer,Copyright Holder,Copyright Holder Job Title,Copyright Holder Group Name,Copyright Holder Organisation,Copyright Holder Email,Recognition Manager,ANZSCO Code,ANZSCO Name,ASCO Code,ASCO Name,ASCED6 Code,ASCED6 Name,ASCED4 Code,ASCED4 Name,Taxonomy (Industry),Taxonomy (Occupation),Qualification Level Code,Qualification Level Name,Licencing,Has Work Placement Hours,Work Placement Hours,Pre-requisite
MSM,Manufacturing Training Package,,Training package,Current,15/12/2015,Current,,,,,,,8.0,03/02/2023,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MSS,Sustainability,,Training package,Current,22/06/2016,Current,,,,,MSS11,True,5.0,16/12/2022,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
MST,"Textiles, Clothing and Footwear",,Training package,Current,04/07/2016,Current,,,,,LMT07,False,5.0,22/12/2022,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
NWP,National Water Training Package,,Training package,Current,07/12/2015,Current,,,,,NWP07,False,5.0,07/12/2022,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
PMA,"Chemical, Hydrocarbons and Refining",,Training package,Current,02/06/2016,Current,,,,,PMA08,True,2.3,21/09/2022,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
PMB,"Plastics, Rubber and Cablemaking",,Training package,Current,22/06/2016,Current,,,,,PMB07,True,2.1,25/03/2022,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
POL,Police Training Package,,Training package,Current,19/10/2015,Current,,,,,,,9.0,02/04/2025,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
PPM,Pulp & Paper Manufacturing Industry Training Package,,Training package,Current,06/05/2016,Current,,,,,FPP10,True,3.1,22/02/2023,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
PSP,Public Sector Training Package,,Training package,Current,07/03/2016,Current,,,,,PSP12,False,4.0,21/11/2022,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
PUA,Public Safety,,Training package,Current,16/07/2019,Current,,,,,PUA12,False,5.0,16/12/2022,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
RGR,Racing and Breeding Training Package,,Training package,Current,18/12/2017,Current,,,,,RGR08,False,4.1,25/02/2022,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
RII,Resources and Infrastructure Industry Training Package,,Training package,Current,14/11/2013,Current,,,,,RII09,False,9.0,19/10/2022,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
SFI,Seafood Industry,,Training package,Current,21/06/2019,Current,,,,,SFI11,False,2.1,25/02/2022,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
SFL,Floristry Training Package,,Training package,Current,25/09/2015,Current,,,,,SFL10,False,1.1,04/04/2022,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
